time	voltage	temperature
09:46:11	127.8	21.67
09:46:16	127.8	21.67
09:46:21	127.82	21.67
09:46:26	127.79	21.67
09:46:31	127.81	21.67
09:46:36	127.8	21.67
09:46:41	127.8	21.67
09:46:46	127.79	21.67
09:46:51	127.8	21.67
09:46:56	127.8	21.67
09:47:01	127.84	21.67
09:47:06	127.83	21.67
09:47:11	127.83	21.67
09:47:16	127.85	21.67
09:47:21	127.82	21.67
09:47:26	127.78	21.67
09:47:31	127.79	21.67
09:47:36	127.82	21.67
09:47:41	127.81	21.67
09:47:46	127.78	21.67
09:47:51	127.79	21.67
09:47:56	127.78	21.67
09:48:01	127.79	21.67
09:48:06	127.79	21.67
09:48:11	127.8	21.67
09:48:16	127.81	21.67
09:48:21	127.81	21.67
09:48:26	127.8	21.67
09:48:31	127.82	21.67
09:48:36	127.76	21.67
09:48:41	127.79	21.67
09:48:46	127.78	21.67
09:48:51	127.76	21.67
09:48:56	127.77	21.67
09:49:01	127.77	21.67
09:49:06	127.77	21.67
09:49:11	127.77	21.67
09:49:16	127.78	21.67
09:49:21	127.74	21.67
09:49:26	127.82	21.67
09:49:31	127.77	21.67
09:49:36	127.78	21.67
09:49:41	127.77	21.67
09:49:46	127.77	21.67
09:49:51	127.77	21.67
09:49:56	127.78	21.67
09:50:01	127.76	21.67
09:50:06	127.75	21.67
09:50:11	127.74	21.67
09:50:16	127.77	21.67
09:50:21	127.79	21.67
09:50:26	127.78	21.67
09:50:31	127.76	21.67
09:50:36	127.76	21.67
09:50:41	127.77	21.67
09:50:46	127.74	21.67
09:50:51	127.79	21.67
09:50:56	127.73	21.67
09:51:01	127.77	21.67
09:51:06	127.75	21.67
09:51:11	127.73	21.67
09:51:16	127.77	21.67
09:51:21	127.76	21.67
09:51:26	127.76	21.67
09:51:31	127.76	21.67
09:51:36	127.75	21.67
09:51:41	127.76	21.67
09:51:46	127.74	21.67
09:51:51	127.78	21.67
09:51:56	127.75	21.67
09:52:01	127.75	21.67
09:52:06	127.74	21.67
09:52:11	127.73	21.67
09:52:16	127.76	21.67
09:52:21	127.78	21.67
09:52:26	127.75	21.67
09:52:31	127.76	21.67
09:52:36	127.77	21.67
09:52:41	127.78	21.67
09:52:46	127.75	21.67
09:52:51	127.73	21.67
09:52:56	127.74	21.67
09:53:01	127.78	21.67
09:53:06	127.74	21.67
09:53:11	127.74	21.67
09:53:16	127.76	21.67
09:53:21	127.75	21.67
09:53:26	127.77	21.67
09:53:31	127.74	21.67
09:53:36	127.75	21.67
09:53:41	127.76	21.67
09:53:46	127.71	21.67
09:53:51	127.73	21.67
09:53:56	127.75	21.67
09:54:01	127.75	21.67
09:54:06	127.72	21.67
09:54:11	127.73	21.67
09:54:16	127.72	21.67
09:54:21	127.71	21.67
09:54:26	127.71	21.67
09:54:31	127.75	21.67
09:54:36	127.74	21.67
09:54:41	127.74	21.67
09:54:46	127.72	21.67
09:54:51	127.76	21.67
09:54:56	127.75	21.67
09:55:01	127.74	21.67
09:55:06	127.74	21.67
09:55:11	127.74	21.67
09:55:16	127.75	21.67
09:55:21	127.75	21.67
09:55:26	127.73	21.67
09:55:31	127.71	21.67
09:55:36	127.74	21.67
09:55:41	127.73	21.67
09:55:46	127.75	21.67
09:55:51	127.75	21.67
09:55:56	127.72	21.67
09:56:01	127.73	21.67
09:56:06	127.74	21.67
09:56:11	127.7	21.67
09:56:16	127.75	21.67
09:56:21	127.75	21.67
09:56:26	127.71	21.67
09:56:31	127.73	21.67
09:56:36	127.71	21.67
09:56:41	127.74	21.67
09:56:46	127.72	21.67
09:56:51	127.71	21.67
09:56:56	127.72	21.67
09:57:01	127.71	21.67
09:57:06	127.7	21.67
09:57:11	127.72	21.67
09:57:16	127.74	21.67
09:57:21	127.72	21.67
09:57:26	127.71	21.67
09:57:31	127.72	21.67
09:57:36	127.75	21.67
09:57:41	127.71	21.67
09:57:46	127.74	21.67
09:57:51	127.72	21.67
09:57:56	127.7	21.67
09:58:01	127.71	21.67
09:58:06	127.74	21.67
09:58:11	127.75	21.67
09:58:16	127.7	21.67
09:58:21	127.71	21.67
09:58:26	127.71	21.67
09:58:31	127.72	21.67
09:58:36	127.71	21.67
09:58:41	127.72	21.67
09:58:46	127.71	21.67
09:58:51	127.75	21.67
09:58:56	127.71	21.67
09:59:01	127.74	21.67
09:59:06	127.7	21.67
09:59:11	127.71	21.67
09:59:16	127.7	21.67
09:59:21	127.7	21.67
09:59:26	127.73	21.67
09:59:31	127.74	21.67
09:59:36	127.71	21.67
09:59:41	127.72	21.67
09:59:46	127.69	21.67
09:59:51	127.7	21.67
09:59:56	127.73	21.67
10:00:01	127.7	21.67
